name,polyline,osm_source
Orchard Road,sa~F{hvxRDIpFsLBGP_@JUj@mAjk@sbBILSVao@niBP[pk@ydBKLORi@p@CDCDAD?DAD?DiFjQR{@d@qBgDtNJc@ok@|}AN_@zk@o_BFYH]{Ofl@vA_DJSzB{GCA~CuMh@iCrPwh@a@l@}Mva@@CpGqY@e@?I?Woi@leBd@cARa@nAeCdDqH`@eAp@_BJSn@wA~@qBFOFMBGpHsQBIf@wByRhf@vSei@^mBDUZyA__@r`APc@wF|MBKRg@BExWyl@HSrUo{@b@qBNg@Le@Fa@{p@ppBJUj@oA|@wBb_@s}@eC~Iz@_Cq[dt@Ti@hWgk@Vm@bLue@Pw@}Xr}@JU@EyJrTiBjE?AlZkq@cEfJhZueAiAIwAlJ@C?A@E{i@r`B,highway_name
Hougang Avenue 1,{mfGcoayRAaA?M?Ma`AsEpCgAbA_@cObEPCz@Ez@Gv[kHVA~CLXHRD|Cp@tEbAPDgt@fDxhApLh@?PA_@sH_@KIGwSeGOCq@OsFqAiGo@W?WBpSjCbAXf@NOH[KGA_m@|@eC`A|n@yCu[gB}@HsAVQFsNzEq@DY@O@zp@qEn@Nj@\qt@dD``@oI{VnFHCZ?MFGBq@HvQ}EvDa@wHv@r@IiDh@v@Qj@IrQWUGWGkAKcSxBaA\pi@vSHABAZK}v@aN|t@wBan@VjZgFjJdBvIjC|Ad@GC_@KnCz@kD|MhAGvAEdAK\Cn@ET}J[IM?e@OzF~JBSMaBqo@_QkAJbGk@|_@fHrBn@yHaC^J|@XhJvC`@H,highway_name
Scotts Road,uj_Gi~wxRP\|@|A`@t@`A~AT`@hg@p`@a@]OKCCCCuYoK{@_AW_@q@mAbMvGJDb@LxMxEl@b@j@h@}e@u\OJVAh@~@OJnApAP\nF`IXJf@NZLz@X|LdF{By@ICYIWIe@QdJzBLFyHoCPFTH}Eo@SCoBe@WM_@OcCkB^X^TZNPLNNsM}QWe@c@s@hE~HQ]CEfQ~Nb@Ju]yb@DRjNbWr@tAvQjHlC|@pAf@cTsF_@QYMwRq[k@aAnB~Cbe@ja@h@PtAn@a@Uy\{PYo@dEtGzUtGaWgJuCuFp@vAbPzKcZaZOW\j@,highway_name
Keng Lee Road,sq_Gu~xxRa@gFAMNaD|@m@`NsKBAL?j@?X@n@NNDlJlDBJ?JAFAFGJw`@pAMEa@KIEGElEtj@?KOwDlHqk@^YDCmDfD|@{@JKkBhBnBmBaEzD_@\hI{HNK\KxKxAlBl@FBqH_C??jCx@gXl^Q}Cr@nLGgAM_[i@g@n_@oDBFc^r_@eAyZjCE_D~BAfCKGGAI?M@O@M@_@OEAQ?a@@rANI?C?A?AACCAAAENNA@C@?@ABAB?D@D,highway_name
Newton Road,}o_GqbxxR_@i@U]e@m@c@k@c@k@k]eOKYKi@t]nQMDkATG@G?GEGAG?GFGFC@AD?FDL?FCFEDI?GG{EkGgASoCc@[GWEUGWIe@QUOKI[YSWAACCKMpEtBD?VFgBa@z@TzK~BGCq@K}Am@bBZnB\^Hp@VJDHB@@l@^`EtELHH?DAsJuHRy@Nk@EE?GBEFAF@BFAFGDoTwB`@b@XRLHVJtQbEs@WrB|@wGgBH@}F_AhBDf@HaLqDQSu@{@b`@`QeBwBf@n@eJmE@BADC@x@?L@q@Kj@\o@_@{S_JDLDLJLNPl@p@eCgEp@~BIMAw@BNUwAKg@,highway_name
Sarkies Road,iw_GquwxRKKQObBhBNNl@r@t@x@,highway_name
Paterson Road,o{}F_tvxRZV\ZLJl@h@\T`At@TNvBfANLd@XaEmASK[USSY]pVfE_@RKJmK[w@_@hAh@E]PHcCq@wAm@_E}Cg@a@CCYUxWpLAJ?F_OkGh@VjDlBhCnA\PdGuBSJ~D}ASFMFgFjC~DyBu[aD[WxOzIs@]oAk@[i@hEjC,highway_name
Orchard Boulevard,q~|FwfwxRGNW\e@n@mDhDaInn@FHNXNb@DPLn@wDcb@S`@jEaHo@t@GJqEjIWp@Sj@`Jxb@L\LTNTLNu@yDPCj@Gh@jE{@LEYoDAQUm@DBd@DA@H]Du@RCIr@SPAEi@}@JAEC??EM@CQDA@JLAAKFABRf@GAC`AK@HPC?GHAD\B@~CBkHqStAbBRVFHbC~IBVBX?`AELGLGJSVyHod@EPId@Eh@Cj@pIx`@cB_q@aA`BoA~Bb@{@oBtFxFeM`FeGMLyBfCCD_JfU@r@Dr@DXBPLj@f@nANVxGbO`@d@l@GPCP?,highway_name
River Valley Road,u_|FmoxxRSLQP`a@yg@_@fAcCbEu]l|ADNXlAhEybAj@WRKtBeAOLOLIL`EwHDIDK}TnOPDdATXHLBjc@im@C`@uPxZKRnP{[Ba@s^hm@G?KAQIMGEChAXHEDCBEPYDEAzJBQ@CBGDI@K@SCMw@`aAFLLTR`@LNJPzA{qA]NuHx`AGYUaAfBhHKa@Sw@lPb\EGEGe@o@iLw{A@B@DFHJNxIgJXm@hRi[L_@F_@B[oa@bgAAYRsC?K@o@?gULKNKKhU?^?J?P?FAVA^Ij@o@pFABEn@fNhv@OUMUrA`BLPLNsAuBPV_CwCCCEGkAkBCCnBxCIMaDcFQYcAiBEKCElBnCBDv@lAsEqIAC_@oAq@cCyAsI?a@?MHkADq@De@D[J?C^E`@Cf@zAgUHk@BW@YvMsd@`@y@bBuCb@k@q@hBc@l@kSxhAJh@xa@a`BVk@p@oAEVkI~Mf@w@fAgBFMaFbJY^}SnTUpA?k@F~BCc@?CPlEGsAFqA@h@@d@Bf@TlC?HJt@C~AGaAsAfYCb@UhGBz@dDhNh@lBmAqEDNx@dEg@eBjFpJHLJN\j@HLgByB]k@pCtDdA`BhEmkBG@EAAACE?CvNgVAHeQxZ{@zAEHy@zA|KiQmBlCoVdy@I|@w@`SrA_x@PU~CgBFEiCnU@b@c@mRjQ_RHMm@~@DGLQuPtqAs@yCdAlEzA~FrMlSMGyRos@CXxIoo@TMaHbVM}@AKAK?sABXUqG@`@?Jd@nUvTor@n@eAmP~Xj@]LCJ?VJuD_AvAk@UHKdpAGM`XaoBa`@ltAC^?VvSjh@PFHDlG_zBx@uAe@v@t@oAiRnY@YeInc@m@`Is@~NGi@z@|Eb@m\G_]ARk@zg@hEf_@MSmBi|@`Tmc@_AzBcHzJJKNM\a@Zc@oF|GF@D@BDDJm@`Fw@e@CECGAG?GBGXm@Zq@JQJIRIgEbKDn@rD_EIQLX,highway_name
Unity Street,ug{FyxxxRGPUf@e@dAk@bAe@bAOZa@v@rC{F,highway_name
