street_name,category,polyline
Abingdon Road,Historic British Colonies,adjGumsyROAgASOAI@I@yCxBKHpJyCm@`@KDI?`FyDcC|BjIuHC?C@oP~IIB{BfB
Adam Drive,Road Name,g~cGamsxRGTG`@AVAXAV?P@NFPHLLHPNRLHLDFBJ@NCZIj@EPKtDDZFd@OwFUASCOIe@sKW]OYAI@KBIJCPC`@CFA{@bBK?M?QFrNuIYTUPw@p@k@f@{@l@IPM`@W`AGRIH[PWNSHQFUqCPGDICG^fV?PCXKh@IZe@wTbA~KEd@Cb@@h@iB|E?o@Mq@YWo@S}@[xEkVKDEHVfZWh@W@rMuc@WR
Adam Road,Historical Figures,{icGivsxR~BxAv`@bOoBGm[qLgAk@vARzAr@lAd@`@NdXrIrCLzDP~@H`AJp@LATu@K_AM_AGyDStI@LHFJCTOJO@tBVIAaAMtAe@\DeBYNBl@JjD|A[Ei@GA{@r@HZBoC^ws@_R`@TjXtLp@FeH{@e@YpYlDc@CqYcEc@Wc@W|]bGEf@Ev@}OoDq@E]Ae@G_@IWEbFNXOH?Z@n@@~@@vDPyYqDYSq@_@q@a@nEfB|A~@t@XXHoKwEkAk@e@Qg@Q_@Ki@Y_DgBQKpq@zOsa@oGVN^TFB\Tra@zFrDb@oZ_CZEmRsFx@h@|LfEqLgFaAg@uSuM`@j@`@d@^\f@`@bo@pR~@DhBPyX}@`B?l^bD_|@iT]Str@jSK?oUcCXHec@oX^n@hw@f^C`@yr@wX
Adis Road,Historical Figures,og}FsuyxRJM`@m@r@cARSROVIPGPAPAF?F?F?cGtDHB?HE@I@MAEAF[BBnHcDh@RNLLLHTJXLr@BR@LAJ
Admiralty Drive,Military History,ypzGuitxRlAdD^dAlHfYJPLLNJeGmSGSISIYkCwHvDpJAPCe@qFeNISVHBDMWPhASi@l@~AbIlW?@Pp@o@gC@B_BqGVhAhClKLj@`F|BdBWJAyMeNFFbHbOrDk@@CBJC?uPeVX|@a@oAEMfIhX\B{DiIn@fCG@Sw@Qs@?A]sAm@cCl@jB
Admiralty Lane,Military Figure,_k{GmgtxR_@\UR{FxGUd@Q^gEjKxReZOL{Tb^IRbUu^]TuEnEGFKLtA_Bm@r@~DuD}HjI}GrOu@zA
Admiralty Link,Military Heritage,ul{Gk_txRtBpAFDb@Xl@\XNd@b@nAtLBP{M_VHDzLbPFjAw@iILTDRRrCOeCFn@^dH
Admiralty Road,Military Figures,anxGwwjxRAMgA}UVb@Td@J`@H`@BXBZBZ?v@BxGkGqVa@a@YSa@Ya@Ua@Qa@OQIe@Kg@Ksc@{G]Mt_@bFRD`@FhBXd@Hf@NZJ`@L^NRLej@iJ\Jxt@vj@?NK@KgCGyECiDAi@Ca@Ia@Oe@Yo@|AlTeJc_@JHXR^Z_R_FfALoIcA\DuEk@jDb@gOyBd@L~@NmKoGDF^l@`@f@^^dAv@r@\mCqA][]a@c@o@EIxZjJ~ANsBD]EpLdBKAqLeB}KaBeAQe@KhW|D_@EfWfIJNyPkI[ZaAM~RnIKOaLqGC?fJvCz@hAJNrAtCcAsAkXcKeCe@}TiEgAy@~c@dJi@k@xQbJ}@a@
Admiralty Street,Military,{m|GiksxRQbACl@?V@r@`DlKNTJRBH?H?DCBEBqAf@p@WiA}XAFKXVs@aAfMBJVn@hAzCiAiQUx@wBtX~F{BFEOMCK@MDOwCsJDTjAsLjHsMlFwGtHwI
Ah Hood Gardens,Botanical,qebG}_yxRGoC}@@GAGCIICKAaAA??CC?oGFHpF
